"","model","MAPE","SDMAPE","width","p.in","absmax","meanbias"
"1","mdj ~ amatc",4.2,2.86,6.26,0.47,12,-4.07
"2","mdj ~ msstc",1.6,1.5,4.39,0.67,5,-0.67
"3","mdj ~ pice",3.67,3.48,6.62,0.6,11,-3.53
"4","mdj ~ amatc + msstc",2.33,1.72,5.86,0.67,7,-1.67
"5","mdj ~ amatc + pice",3.87,3.2,8.31,0.47,10,-3.73
"6","mdj ~ msstc + pice",2.2,2.21,7,0.8,7,-1.4
"7","mdj ~ amatc + msstc + pice",2.27,1.94,8.21,0.87,6,-1.6
